utterance,qudBias,state.CC,state.BEL,prob
pos-know-pos-dance,BEL?,1,1,1
pos-know-pos-dance,CC?,1,1,1
pos-think-pos-dance,BEL?,1,1,0.6121009408975854
pos-think-pos-dance,BEL?,0,1,0.38789905910241457
pos-think-pos-dance,CC?,1,1,0.6170778500982589
pos-think-pos-dance,CC?,0,1,0.3829221499017413
neg-know-pos-dance,BEL?,1,0,0.7559468917910447
neg-know-pos-dance,BEL?,0,1,0.17423363662831498
neg-know-pos-dance,BEL?,0,0,0.06981947158064045
neg-know-pos-dance,CC?,1,0,0.6467096184081327
neg-know-pos-dance,CC?,0,1,0.2770611084577874
neg-know-pos-dance,CC?,0,0,0.07622927313407978
neg-think-pos-dance,BEL?,1,0,0.7160268105453338
neg-think-pos-dance,BEL?,0,0,0.28397318945466604
neg-think-pos-dance,CC?,1,0,0.7169440364529789
neg-think-pos-dance,CC?,0,0,0.28305596354702123
pos-bare-pos-dance,BEL?,1,1,0.7475229110863594
pos-bare-pos-dance,BEL?,1,0,0.2524770889136404
pos-bare-pos-dance,CC?,1,1,0.7277479382832279
pos-bare-pos-dance,CC?,1,0,0.2722520617167719
neg-bare-pos-dance,BEL?,0,1,0.7495759121126081
neg-bare-pos-dance,BEL?,0,0,0.2504240878873922
neg-bare-pos-dance,CC?,0,1,0.7431193492001615
neg-bare-pos-dance,CC?,0,0,0.2568806507998386
